Name,,IBAN
A,SHARMA,DE89850643171390053293
C,BATEMANABIN,DE89393352904228421020
D,HUSSAIN,DE89950240268117758917
S,AFTAB,DE89084700766177115921
C,ELCHURI,DE89698478961183673657
F,SHEN,DE89565452711116152809
K,LUK,DE89851656049451983273
F,FOK,DE89585149368998094024
A,ALLEN,DE89455022961201836675
A,MAGPANTAY,DE89599102290147679764
A,SWAIN,DE89561497840369003432
D,MIASEK,DE89451076226838851606
A,RICHARD,DE89596966416052975161
A,SHETTY,DE89816453521818835523
A,PUSHPARAJ,DE89329212779979955271
C,VITTA,DE89490581477005411998
D,DESIATKOV,DE89793597820715182037
E,WONDIMU,DE89554665905151864492
S,JIA,DE89546291486528168505
L,CAPUNITAN,DE89573322141888059296
J,WU,DE89927065379473834735
D,CHUTANI,DE89746886239240758181
G,MAHARAJ,DE89478261375060685361
X,LIN,DE89515220472779010432
A,GULERIA,DE89861434103697117980
,,DE89932460953962185188
,,DE89880670654051531952
,,DE89527722170430305486
,,DE89034505415667652775
,,DE89616928451154479627
,,DE89964016582029702135
,,DE89092755719285654310
,,DE89786814473947312172
,,DE89715518844225831323
,,DE89058957829114678669
,,DE89177852892268018242
,,DE89358414384249818299
,,DE89900109439690784473
,,DE89471027677359255562
,,DE89881537147321046963
